train_loss,val_loss,train_action_score,val_action_score,train_person_score,val_person_score
2.766876696301745,4.120254039764404,0.06574675440788269,0.3210059106349945,0.5311845541000366,0.617054283618927
2.478713674669142,3.773479461669922,0.20357142388820648,0.5029585957527161,0.5833333134651184,0.6478873491287231
2.2806611200431726,3.465056896209717,0.31801947951316833,0.6168639063835144,0.6052852869033813,0.6504064798355103
2.117365289353705,3.2234621047973633,0.39626622200012207,0.6553254723548889,0.6312154531478882,0.6534653306007385
1.9672844094115418,3.014817714691162,0.4599025845527649,0.6819526553153992,0.6515205502510071,0.658703088760376
1.821972621570934,2.802943468093872,0.5202922224998474,0.692307710647583,0.6617915630340576,0.6584938764572144
1.7029897980875783,2.6016182899475098,0.5571428537368774,0.6937869787216187,0.6601439714431763,0.6549912691116333
1.573739961834697,2.4852840900421143,0.59188312292099,0.7144970297813416,0.6711334586143494,0.6574394702911377
1.4645260411423522,2.3774654865264893,0.6311688423156738,0.7189348936080933,0.665917158126831,0.6506849527359009
1.35698576128328,2.230344772338867,0.6628246903419495,0.7322485446929932,0.6732038259506226,0.6690647602081299
